title,haiku,haiku2,path
GRAPHIC ARTIST,"The candidate must
be familiar with layout
and large print formats",The candidate must be familiar with layout and large print formats.,"['the', 'candidate', 'must', 'i++', 'be', 'familiar', 'with', 'layout', 'i++', 'and', 'large', 'print', 'formats', 'i++']"
GRAPHIC ARTIST,"The preparation
of posters informative
displays exhibits",The preparation of posters informative displays exhibits.,"['the', 'preparation', 'i++', 'of', 'posters', 'informative', 'i++', 'displays', 'and', '-and', 'exhibits', 'i++']"
GRAPHIC ARTIST,"Create digital
assets for all videos
and marketing trends",Create digital assets for all videos and marketing trends.,"['create', 'reporting', 'i++', 'i--', '-reporting', 'digital', 'i++', 'assets', 'for', 'all', 'videos', 'i++', 'and', 'marketing', 'trends', 'i++']"
INSTRUMENTATION SPECIALIST,"Work described above
is mostly performed in an
ethical manner",Work described above is mostly performed in an ethical manner.,"['work', 'in', 'restricted', 'i++', 'spaces', 'for', 'up', 'to', 'waist', 'height', 'i++', 'i--', '-height', '-waist', '-to', '-up', '-for', '-spaces', 'i--', '-restricted', '-in', 'described', 'above', 'i++', 'is', 'mostly', 'performed', 'in', 'the', 'i++', 'country', 'with', '-with', '-country', 'i--', '-the', 'an', 'i++', 'ethical', 'manner', 'i++']"
INSTRUMENTATION SPECIALIST,"Employees must be
maintained for the duration
of their employment",Employees must be maintained for the duration of their employment.,"['employees', 'must', 'be', 'i++', 'physically', 'able', 'to', 'i++', 'endure', 'long', '-long', '-endure', 'i--', '-to', '-able', '-physically', 'maintained', 'for', 'the', 'position', 'i++', 'under', 'the', '-the', '-under', 'i--', '-position', 'duration', 'i++', 'of', 'their', 'employment', 'i++']"
DIRECTOR OF NEIGHBORHOOD CONSE,"Its mission is to
promote quality housing
and neighborhood groups",Its mission is to promote quality housing and neighborhood groups.,"['its', 'mission', 'is', 'to', 'i++', 'promote', 'quality', 'housing', 'i++', 'and', 'neighborhood', 'groups', 'i++']"
DIRECTOR OF NEIGHBORHOOD CONSE,"Its mission is to
promote quality housing
and neighborhood plans",Its mission is to promote quality housing and neighborhood plans.,"['its', 'mission', 'is', 'to', 'i++', 'promote', 'quality', 'housing', 'i++', 'and', 'diverse', '-diverse', 'neighborhood', 'plans', 'i++']"
DIRECTOR OF NEIGHBORHOOD CONSE,"Community boards
civic associations
and neighborhood groups",Community boards civic associations and neighborhood groups.,"['community', 'boards', 'i++', 'civic', 'associations', 'i++', 'and', 'neighborhood', 'groups', 'i++']"
DIRECTOR OF NEIGHBORHOOD CONSE,"Thorough knowledge of
zoning land use planning and
project management",Thorough knowledge of zoning land use planning and project management.,"['thorough', 'knowledge', 'of', 'i++', 'zoning', 'land', 'use', 'and', 'zoning', 'i++', 'and', '-and', 'i--', '-zoning', '-and', 'planning', 'and', 'i++', 'project', 'management', 'i++']"
SUMMER GRADUATE INTERN,"Interns will be placed
in any division of
the law department",Interns will be placed in any division of the law department.,"['interns', 'will', 'be', 'placed', 'i++', 'in', 'offices', 'located', 'i++', 'in', 'any', 'of', '-of', '-any', '-in', 'i--', '-located', '-offices', 'the', 'tort', 'or', 'family', 'i++', 'court', 'divisions', '-divisions', '-court', 'i--', '-family', '-or', '-tort', '-the', 'any', 'division', 'of', 'i++', 'the', 'law', 'department', 'i++']"
ADMINISTRATIVE ACCOUNTANT,"Experience in
a broad variety of
financial data",Experience in a broad variety of financial data.,"['experience', 'in', 'i++', 'a', 'broad', 'variety', 'of', 'i++', 'financial', 'data', 'i++']"
ADMINISTRATIVE ACCOUNTANT,"Reporting to the
assistant comptroller for
asset management",Reporting to the assistant comptroller for asset management.,"['reporting', 'to', 'the', 'i++', 'associate', 'director', 'i++', 'the', '-the', 'i--', '-director', '-associate', 'following', 'teams', '-teams', '-following', 'assistant', 'comptroller', 'for', 'i++', 'asset', 'management', 'i++']"
ADMINISTRATIVE ACCOUNTANT,"The preparation
of financial management
system is a plus",The preparation of financial management system is a plus.,"['the', 'preparation', 'i++', 'of', 'financial', 'management', 'i++', 'a', 'group', 'which', '-which', '-group', '-a', 'system', 'is', 'a', 'plus', 'i++']"
ADMINISTRATIVE ACCOUNTANT,"Reporting to the
director of financial
management system",Reporting to the director of financial management system.,"['reporting', 'to', 'the', 'i++', 'director', 'of', 'financial', 'i++', 'data', '-data', 'management', 'system', 'i++']"
ASSOCIATE INSPECTOR (HIGHWAYS,"May be required
to appear as a witness
in court when ordered",May be required to appear as a witness in court when ordered.,"['may', 'be', 'required', 'i++', 'to', 'appear', 'as', 'a', 'witness', 'i++', 'in', 'court', 'when', 'ordered', 'i++']"
HIGH PRESSURE PLANT TENDER,"Tend to equipment
and assist in the review
of skilled trade tickets",Tend to equipment and assist in the review of skilled trade tickets.,"['tend', 'to', 'equipment', 'i++', 'and', 'assist', 'in', 'the', 'review', 'i++', 'of', 'skilled', 'trade', 'tickets', 'i++']"
HIGH PRESSURE PLANT TENDER,"Maintain clean repair
and or tend to and assist
in field inspections",Maintain clean repair and or tend to and assist in field inspections.,"['maintain', 'heating', '-heating', 'clean', 'repair', 'i++', 'and', 'or', 'tend', 'to', 'and', 'assist', 'i++', 'in', 'field', 'inspections', 'i++']"
HIGH PRESSURE PLANT TENDER,"Repair and or tend
to equipment and assist
in field inspections",Repair and or tend to equipment and assist in field inspections.,"['repair', 'and', 'or', 'tend', 'i++', 'to', 'equipment', 'and', 'assist', 'i++', 'in', 'field', 'inspections', 'i++']"
DIRECTOR OF CORRECTIONAL STAND,"The incumbent will
review and evaluate
compliance issues",The incumbent will review and evaluate compliance issues.,"['the', 'following', '-following', 'new', 'york', 'city', 'i++', 'department', 'of', 'correction', 'i++', 'doc', 'provides', 'for', '-for', '-provides', '-doc', 'i--', '-correction', '-of', '-department', 'i--', '-city', 'state', '-state', '-york', '-new', 'incumbent', 'will', 'i++', 'review', 'and', 'evaluate', 'i++', 'compliance', 'issues', 'i++']"
CONTRACT REVIEWER (OFFICE OF L,"The expertise to
manage projects involving
diverse stakeholders",The expertise to manage projects involving diverse stakeholders.,"['the', 'expertise', 'to', 'i++', 'manage', 'projects', 'involving', 'i++', 'diverse', 'stakeholders', 'i++']"
CITY MEDICAL DIRECTOR,"Review committee
that determines the need for
residential care",Review committee that determines the need for residential care.,"['review', 'committee', 'i++', 'that', 'will', 'evaluate', 'and', 'i++', 'approve', 'mental', '-mental', '-approve', 'i--', '-and', '-evaluate', '-will', 'determines', 'the', 'need', 'for', 'i++', 'residential', 'care', 'i++']"
CITY MEDICAL DIRECTOR,"Experience in
the context of child welfare
and mental health care",Experience in the context of child welfare and mental health care.,"['experience', 'in', 'i++', 'the', 'context', 'of', 'child', 'and', '-and', 'welfare', 'i++', 'health', 'policy', '-policy', '-health', 'and', 'mental', 'health', 'care', 'i++']"
EXECUTIVE DIRECTOR,"Possession of a
law degree or a master
degree is a plus",Possession of a law degree or a master degree is a plus.,"['possession', 'of', 'a', 'i++', 'law', 'degree', 'or', 'a', 'master', 'i++', 'degree', 'is', 'a', 'plus', 'i++']"
CEMENT MASON,"Prepare mix lay and
finish cement and concrete
to grade and contour",Prepare mix lay and finish cement and concrete to grade and contour.,"['prepare', 'mix', 'lay', 'and', 'i++', 'finish', 'cement', 'and', 'concrete', 'i++', 'and', 'prepare', 'and', '-and', '-prepare', '-and', 'to', 'grade', 'and', 'contour', 'i++']"
CLERICAL AIDE,,Respond to public inquiries and requests via telephone.,"['respond', 'to', 'public', 'i++', 'inquiries', 'and', 'requests', 'i++', 'via', 'telephone', 'i++']"
COMPUTER SPECIALIST (SOFTWARE),"Facilitate the
collection of technical
and business users",Facilitate the collection of technical and business users.,"['facilitate', 'the', 'i++', 'collection', 'often', '-often', 'of', 'technical', 'i++', 'and', 'business', 'users', 'i++']"
COMPUTER SPECIALIST (SOFTWARE),"Ensure engineers
follow all team and other
city agencies",Ensure engineers follow all team and other city agencies.,"['ensure', 'projects', 'are', 'i++', 'delivered', 'on', 'time', 'within', 'i++', 'budget', 'adhere', '-adhere', '-budget', 'i--', '-within', '-time', '-on', '-delivered', 'i--', '-are', '-projects', 'engineers', 'i++', 'follow', 'all', 'team', 'and', 'other', 'i++', 'city', 'agencies', 'i++']"
COMPUTER SPECIALIST (SOFTWARE),"Excellent verbal
written communication
skills are required",Excellent verbal written communication skills are required.,"['excellent', 'verbal', 'i++', 'and', 'written', '-written', '-and', 'i--', '-verbal', 'problem', 'i++', 'solving', 'skills', 'and', 'the', 'impact', 'i++', 'of', 'planned', '-planned', '-of', 'i--', '-impact', '-the', '-and', '-skills', '-solving', 'i--', '-problem', 'verbal', 'i++', 'written', 'communication', 'i++', 'skills', 'are', 'required', 'i++']"
COMPUTER SPECIALIST (SOFTWARE),"Apply the concepts
of appropriate standard
methodologies",Apply the concepts of appropriate standard methodologies.,"['apply', 'the', 'concepts', 'i++', 'of', 'appropriate', 'standard', 'i++', 'methodologies', 'i++']"
CERT IT ADMINISTRATOR (DB),"Must be familiar
with oracle database
resource manager",Must be familiar with Oracle database resource manager.,"['must', 'be', 'familiar', 'i++', 'with', 'oracle', 'database', 'i++', 'security', '-security', 'resource', 'manager', 'i++']"
CERT IT ADMINISTRATOR (DB),"Experience in
database architecture
including software",Experience in database architecture including software.,"['experience', 'in', 'i++', 'database', 'architecture', 'i++', 'and', 'design', 'stored', '-stored', '-design', '-and', 'including', 'software', 'i++']"
CERT IT ADMINISTRATOR (DB),"Ensure adherence
to best practice methods for
database usage",Ensure adherence to best practice methods for database usage.,"['ensure', 'adherence', 'i++', 'to', 'best', 'practice', 'methods', 'for', 'i++', 'database', 'usage', 'i++']"
CERT IT ADMINISTRATOR (DB),"Meet with users to
work independently on
multiple projects",Meet with users to work independently on multiple projects.,"['meet', 'with', 'users', 'to', 'i++', 'work', 'independently', 'on', 'i++', 'multiple', 'projects', 'i++']"
ASSOCIATE INSPECTOR (CONSUMERS,"Ability to
create and manipulate
excel documents",Ability to create and manipulate Excel documents.,"['ability', 'to', 'i++', 'create', 'and', 'manipulate', 'i++', 'excel', 'documents', 'i++']"
COMPUTER ASSOC (SOFTWARE),"Design construction
and implementation of
a new assessment",Design construction and implementation of a new assessment.,"['design', 'construction', 'i++', 'and', 'implementation', 'of', 'i++', 'a', 'new', 'assessment', 'i++']"
COMPUTER ASSOC (SOFTWARE),"The city of new
york city open data
open government",The city of New York City open data open government.,"['the', 'required', '-required', 'city', 'of', 'new', 'i++', 'york', 'city', 'open', 'data', 'i++', 'open', 'government', 'i++']"
COMMUNITY ASSOCIATE,"Assist in all five
boros will be able to
work well in a team",Assist in all five boros will be able to work well in a team.,"['assist', 'in', 'all', 'five', 'i++', 'boros', 'will', 'be', 'provided', 'i++', 'with', 'the', 'oath', '-oath', 'proper', '-proper', '-the', '-with', 'i--', '-provided', 'able', 'to', 'i++', 'work', 'well', 'in', 'a', 'team', 'i++']"
COMMUNITY ASSOCIATE,"Process payments of
various special projects
and initiatives",Process payments of various special projects and initiatives.,"['process', 'payments', 'of', 'i++', 'various', 'special', 'projects', 'i++', 'and', 'reports', 'to', '-to', 'as', '-as', '-reports', 'initiatives', 'i++']"
COMMUNITY ASSOCIATE,"Strong computer skills
in excel and access is
strongly desired",Strong computer skills in Excel and Access is strongly desired.,"['strong', 'copy', '-copy', 'computer', 'skills', 'i++', 'in', 'excel', 'and', 'access', 'is', 'i++', 'strongly', 'desired', 'i++']"
COMMUNITY ASSOCIATE,"The housing new york
plan to create and preserve
new york city health",The housing New York plan to create and preserve New York City health.,"['the', 'housing', 'new', 'york', 'i++', 'plan', 'to', 'create', 'thriving', '-thriving', 'and', 'preserve', 'i++', 'new', 'york', 'city', 'health', 'i++']"
COMMUNITY ASSOCIATE,"Work on multiple
projects sometimes quickly and
under strict deadlines",Work on multiple projects sometimes quickly and under strict deadlines.,"['work', 'on', 'multiple', 'i++', 'projects', 'sometimes', 'quickly', 'and', 'i++', 'under', 'strict', 'deadlines', 'i++']"
COMMUNITY COORDINATOR,"The department is
seeking an outreach and case
management system",The department is seeking an outreach and case management system.,"['the', 'department', 'is', 'i++', 'seeking', 'an', 'outreach', 'and', 'case', 'i++', 'management', 'system', 'i++']"
COMMUNITY COORDINATOR,"Experience in
program management and field
operations guides",Experience in program management and field operations guides.,"['experience', 'in', 'i++', 'program', 'management', 'writing', 'i++', 'i--', '-writing', 'and', 'field', 'i++', 'operations', 'guides', 'i++']"
COMMUNITY COORDINATOR,"Build assets and make
referrals to external
trainers as needed",Build assets and make referrals to external trainers as needed.,"['build', 'assets', 'and', 'make', 'i++', 'referrals', 'for', '-for', 'to', 'and', 'lead', '-lead', '-and', 'external', 'i++', 'trainers', 'as', 'needed', 'i++']"
COMMUNITY COORDINATOR,"Work with attorneys
and staff to collaborate
closely with the law",Work with attorneys and staff to collaborate closely with the law.,"['work', 'with', 'the', 'forms', '-forms', 'human', 'i++', 'services', 'support', 'functions', 'i++', 'i--', '-functions', '-support', '-services', 'i--', '-human', 'mayors', 'i++', 'intergovernmental', '-intergovernmental', 'i--', '-mayors', '-the', 'attorneys', 'i++', 'and', 'staff', 'on', 'training', 'and', '-and', '-training', '-on', 'to', 'collaborate', 'i++', 'closely', 'with', 'the', 'law', 'i++']"
COMMUNITY COORDINATOR,"Work with all other
city agencies and the
lives of families",Work with all other city agencies and the lives of families.,"['work', 'with', 'partner', '-partner', 'all', 'other', 'i++', 'city', 'agencies', 'and', 'the', 'i++', 'neighborhoods', 'they', '-they', '-neighborhoods', 'lives', 'of', 'new', 'york', '-york', '-new', 'families', 'i++']"
COMMUNITY COORDINATOR,"Performing special
projects assigned by the chief
of operations",Performing special projects assigned by the chief of operations.,"['performing', 'special', 'i++', 'projects', 'assigned', 'by', 'the', 'chief', 'i++', 'of', 'staff', 'who', '-who', '-staff', '-of', 'and', 'deputy', '-deputy', '-and', 'of', 'operations', 'i++']"
ASSOCIATE PUBLIC INFORMATION,"Maintaining social
media talking points news
releases and more",Maintaining social media talking points news releases and more.,"['maintaining', 'social', 'i++', 'media', 'talking', 'points', 'news', 'i++', 'releases', 'and', 'more', 'i++']"
ENGINEERING TECHNICIAN,"Performs research and
respond to written requests
for design changes",Performs research and respond to written requests for design changes.,"['performs', 'research', 'and', 'i++', 'investigations', '-investigations', 'respond', 'to', 'written', 'requests', 'i++', 'for', 'design', 'changes', 'i++']"
ECONOMIST,"Experience with
programming data mining
and data sources",Experience with programming data mining and data sources.,"['experience', 'in', 'i++', 'processing', 'cleaning', '-cleaning', '-processing', 'i--', '-in', 'with', 'i++', 'programming', 'data', 'mining', 'i++', 'and', 'data', 'sources', 'i++']"
ECONOMIST,"An understanding
of statistical methods
and data sources",An understanding of statistical methods and data sources.,"['an', 'emerging', '-emerging', 'understanding', 'i++', 'of', 'and', 'experience', '-experience', '-and', 'statistical', 'methods', 'i++', 'is', 'required', '-required', '-is', 'and', 'data', 'sources', 'i++']"
RECREATION SUPERVISOR,"Manage the proper
maintenance of related
safety equipment",Manage the proper maintenance of related safety equipment.,"['manage', 'the', 'proper', 'i++', 'maintenance', 'of', 'related', 'i++', 'safety', 'equipment', 'i++']"
CASHIER,"Ensure customer
satisfaction and safeguard
company assets",Ensure customer satisfaction and safeguard company assets.,"['ensure', 'customer', 'i++', 'satisfaction', 'and', 'safeguard', 'i++', 'company', 'assets', 'i++']"
CASHIER,"Other transactions
include processing payments
received in the mail",Other transactions include processing payments received in the mail.,"['other', 'payment', '-payment', 'transactions', 'i++', 'include', 'processing', 'payments', 'i++', 'received', 'in', 'the', 'mail', 'i++']"
CASHIER,"Must be currently
serving as a permanent
cashier to apply",Must be currently serving as a permanent cashier to apply.,"['must', 'be', 'currently', 'i++', 'serving', 'as', 'a', 'permanent', 'i++', 'cashier', 'to', 'apply', 'i++']"
ASSISTANT COMMISSIONER (DCAS),"Communicating
with lines of service of the
city of new york",Communicating with lines of service of the city of New York.,"['communicating', 'i++', 'with', 'lines', 'of', 'service', 'of', 'the', 'i++', 'commissioner', '-commissioner', 'city', 'of', 'new', 'york', 'i++']"
ASSISTANT COMMISSIONER (DCAS),"Strong understanding
of real estate leasing and
lease terminations",Strong understanding of real estate leasing and lease terminations.,"['strong', 'understanding', 'i++', 'of', 'real', 'estate', 'leasing', 'and', 'i++', 'lease', 'terminations', 'i++']"
IT PROJECT SPECIALIST,"Assist with user
acceptance testing and test
automation scripts",Assist with user acceptance testing and test automation scripts.,"['assist', 'the', 'support', 'i++', 'team', 'in', 'application', '-application', '-in', '-team', 'i--', '-support', '-the', 'with', 'user', 'i++', 'acceptance', 'testing', 'and', 'test', 'i++', 'automation', 'scripts', 'i++']"
IT PROJECT SPECIALIST,"Assist with user
acceptance testing and test
management system",Assist with user acceptance testing and test management system.,"['assist', 'the', 'support', 'i++', 'team', 'in', 'application', '-application', '-in', '-team', 'i--', '-support', '-the', 'with', 'user', 'i++', 'acceptance', 'testing', 'and', 'test', 'i++', 'management', 'system', 'i++']"
FAMILY PUB HEALTH NURSE (HMH),"Link women and their
families that promotes trust
and problem solving",Link women and their families that promotes trust and problem solving.,"['link', 'women', 'and', 'their', 'i++', 'families', 'that', 'promotes', 'trust', 'i++', 'and', 'problem', 'solving', 'i++']"
DIETITIAN,"Inspects assigned food
service for compliance with
accepted standards",Inspects assigned food service for compliance with accepted standards.,"['inspects', 'assigned', 'food', 'i++', 'service', 'for', 'compliance', 'with', 'i++', 'prescribed', '-prescribed', 'accepted', 'standards', 'i++']"
DIRECTOR OF PUBLIC INFORMATION,"The strategic growth
and development of land
use applications",The strategic growth and development of land use applications.,"['the', 'strategic', 'growth', 'i++', 'and', 'development', 'of', 'land', 'i++', 'use', 'applications', 'i++']"
DIRECTOR OF PUBLIC INFORMATION,"The strategic growth
and community needs with
sister agencies",The strategic growth and community needs with sister agencies.,"['the', 'strategic', 'growth', 'i++', 'and', 'community', 'needs', 'with', 'i++', 'sister', 'agencies', 'i++']"
ASSISTANT COMMISSIONER (DEP),"The most amazing
city in the region on
a daily basis",The most amazing city in the region on a daily basis.,"['the', 'bureau', 'of', '-of', 'is', '-is', '-bureau', 'most', 'amazing', 'i++', 'city', 'in', 'the', 'region', 'on', 'i++', 'a', 'daily', 'basis', 'i++']"
ASSISTANT COMMISSIONER (DEP),"Provide vision and
management necessary
for the next ten years",Provide vision and management necessary for the next ten years.,"['provide', 'vision', 'and', 'i++', 'management', 'to', 'analyze', 'i++', 'processes', 'track', '-track', '-processes', 'i--', '-analyze', 'ensure', 'that', 'i++', 'capital', '-capital', 'i--', '-that', 'the', 'i++', 'utility', '-utility', 'i--', '-the', '-ensure', 'analyze', 'i++', 'processes', 'track', '-track', '-processes', 'i--', '-analyze', 'ensure', 'that', 'i++', 'capital', '-capital', 'i--', '-that', '-ensure', '-to', 'necessary', 'i++', 'for', 'the', 'next', 'ten', 'years', 'i++']"
COMPUTER SPECIALIST (OPERATION,"Create and close work
orders in accordance with
established standards",Create and close work orders in accordance with established standards.,"['create', 'usage', '-usage', 'and', 'close', 'work', 'i++', 'orders', 'in', 'accordance', 'with', 'i++', 'electronic', '-electronic', 'i--', '-with', '-accordance', '-in', '-orders', 'i--', '-work', '-close', 'maintain', 'i++', 'computer', 'and', 'user', 'group', 'i++', 'memberships', 'and', '-and', '-memberships', 'i--', '-group', '-user', '-and', '-computer', 'i--', '-maintain', 'close', 'work', 'i++', 'orders', 'in', 'accordance', 'with', 'i++', 'established', 'standards', 'i++']"
COMPUTER SPECIALIST (OPERATION,"Communicate and
express technical issues
in a clear manner",Communicate and express technical issues in a clear manner.,"['communicate', 'and', 'i++', 'express', 'technical', 'issues', 'i++', 'in', 'a', 'timely', '-timely', 'clear', 'manner', 'i++']"
COMPUTER SPECIALIST (OPERATION,"The dangers of this
position will also field
calls and incidents",The dangers of this position will also field calls and incidents.,"['the', 'dangers', 'of', 'this', 'i++', 'position', 'will', 'also', 'field', 'i++', 'calls', 'and', 'incidents', 'i++']"
COMPUTER SPECIALIST (OPERATION,"Microsoft windows
operating systems and
their utilities",Microsoft Windows operating systems and their utilities.,"['microsoft', 'windows', 'i++', 'operating', 'systems', 'and', 'i++', 'their', 'utilities', 'i++']"
ASSISTANT ARCHITECT,"The resolution
of complex issues during
the design progress",The resolution of complex issues during the design progress.,"['the', 'construction', 'or', 'i++', 'substantial', '-substantial', 'i--', '-or', '-construction', 'resolution', 'i++', 'of', 'complex', 'issues', 'during', 'i++', 'the', 'design', 'progress', 'i++']"
ASSISTANT ARCHITECT,"The bureau of new
york may be required for
certain assignments",The bureau of New York may be required for certain assignments.,"['the', 'bureau', 'of', 'new', 'i++', 'york', 'city', 'building', 'and', 'land', 'i++', 'development', '-development', 'i--', '-land', '-and', '-building', '-city', 'may', 'be', 'required', 'for', 'i++', 'certain', 'assignments', 'i++']"
ASSISTANT ARCHITECT,"Ability to
work in the designation
of project awards",Ability to work in the designation of project awards.,"['ability', 'to', 'i++', 'work', 'in', 'a', '-a', 'the', 'designation', 'i++', 'of', 'project', 'awards', 'i++']"
ASSISTANT ARCHITECT,"Provide assistance
to and coordinate work
with the director",Provide assistance to and coordinate work with the director.,"['provide', 'assistance', 'i++', 'to', 'and', 'coordinate', 'work', 'i++', 'with', 'the', 'director', 'i++']"
ASSISTANT ARCHITECT,"Experience with
new york city government
and housing issues",Experience with New York City government and housing issues.,"['experience', 'with', 'i++', 'urban', 'planning', 'and', 'or', '-or', '-and', '-planning', '-urban', 'i--', '-with', 'in', 'i++', 'construction', 'and', 'construction', 'i++', 'of', 'premises', '-premises', '-of', 'i--', '-construction', '-and', '-construction', 'i--', '-in', 'with', 'i++', 'new', 'york', 'city', 'building', 'and', 'i++', 'construction', 'codes', '-codes', '-construction', 'i--', '-and', '-building', 'government', 'i++', 'and', 'housing', 'issues', 'i++']"
DISTRICT SUPERVISOR (WATER & S,"Surveys and reports
on water supply sewage
and drainage systems",Surveys and reports on water supply sewage and drainage systems.,"['surveys', 'and', 'reports', 'i++', 'on', 'water', 'supply', 'sewage', 'i++', 'and', 'drainage', 'systems', 'i++']"
SUPERVISOR (WATERSHED MAINTENA,"Prepares reports as
needed for the duration
of their employment",Prepares reports as needed for the duration of their employment.,"['prepares', 'and', '-and', 'reports', 'as', 'i++', 'needed', 'for', 'the', 'duration', 'i++', 'of', 'their', 'employment', 'i++']"
CLAIM SPECIALIST,"Creates internal
and works with externally
created spreadsheets",Creates internal and works with externally created spreadsheets.,"['creates', 'internal', 'i++', 'and', 'works', 'with', 'large', '-large', 'externally', 'i++', 'created', 'spreadsheets', 'i++']"
CLAIM SPECIALIST,"Assembles data
from spreadsheets databases
and applications",Assembles data from spreadsheets databases and applications.,"['assembles', 'data', 'i++', 'from', 'spreadsheets', 'databases', 'i++', 'and', 'applications', 'i++']"
CLAIM SPECIALIST,"Assembles data
from spreadsheets databases
and law manager",Assembles data from spreadsheets databases and law manager.,"['assembles', 'data', 'i++', 'from', 'spreadsheets', 'databases', 'i++', 'and', 'law', 'manager', 'i++']"
ELECTRICIAN (AUTOMOBILE),"Maintains records and
inventories of supplies
and materials",Maintains records and inventories of supplies and materials.,"['maintains', 'records', 'and', 'i++', 'inventories', 'of', 'supplies', 'i++', 'and', 'materials', 'i++']"
SUPERVISING PUBLIC HEALTH ADVI,"Experience in
disease surveillance and case
reviews with field staff",Experience in disease surveillance and case reviews with field staff.,"['experience', 'in', 'i++', 'disease', 'surveillance', 'and', 'case', 'i++', 'reviews', 'with', 'field', 'staff', 'i++']"
SUPERVISING PUBLIC HEALTH ADVI,"Assign work to staff
to improve sexual health
of all new yorkers",Assign work to staff to improve sexual health of all New Yorkers.,"['assign', 'work', 'to', 'staff', 'i++', 'to', 'ensure', 'that', 'case', '-case', '-that', '-ensure', 'improve', 'sexual', 'health', 'i++', 'of', 'all', 'new', 'yorkers', 'i++']"
SUPERVISING PUBLIC HEALTH ADVI,"The optometry
program and manager of
the three dose schedule",The optometry program and manager of the three dose schedule.,"['the', 'health', 'of', 'over', 'i++', 'i--', '-over', 'all', 'new', 'i++', 'yorkers', 'with', '-with', '-yorkers', 'i--', '-new', '-all', 'over', 'i++', 'i--', '-over', '-of', '-health', 'optometry', 'i++', 'team', 'leaders', 'and', 'other', 'health', 'i++', 'care', 'providers', '-providers', '-care', 'i--', '-health', 'poor', 'i++', 'health', 'outcomes', '-outcomes', '-health', 'i--', '-poor', '-other', '-and', '-leaders', '-team', 'i--', '-optometry', 'performance', 'of', 'i++', 'public', 'health', 'advisors', 'in', 'i++', 'all', 'aspects', 'of', '-of', '-aspects', '-all', 'i--', '-in', '-advisors', '-health', '-public', 'i--', '-of', '-performance', 'optometry', 'i++', 'program', 'and', 'manager', 'of', 'i++', 'the', 'three', 'dose', 'schedule', 'i++']"
SUPERVISING PUBLIC HEALTH ADVI,"Knowledge of the team
members through field visits and
case management work",Knowledge of the team members through field visits and case management work.,"['knowledge', 'of', 'the', 'team', 'i++', 'members', 'through', 'field', 'visits', 'and', 'i++', 'case', 'management', 'work', 'i++']"
ADMINISTRATIVE JOB OPPORTUNITY,"Ensure compliance
with mandated signage are
properly posted",Ensure compliance with mandated signage are proPerly posted.,"['ensure', 'compliance', 'i++', 'with', 'mandated', 'signage', 'are', 'i++', 'properly', 'posted', 'i++']"
QUALITY ASSURANCE SPECIALIST (,"Performs tasks such as
inspecting vehicle and
equipment repairs",Performs tasks such as inspecting vehicle and equipment repairs.,"['performs', 'more', '-more', 'tasks', 'such', 'as', 'i++', 'inspecting', 'vehicle', 'and', 'i++', 'equipment', 'repairs', 'i++']"
PUBLIC HEALTH EDUCATOR,"Ability to
work independently and
as part of a team",Ability to work independently and as part of a team.,"['ability', 'to', 'i++', 'work', 'independently', 'and', 'i++', 'as', 'part', 'of', 'a', 'team', 'i++']"
PUBLIC HEALTH EDUCATOR,"The provider of
public health services in
the new york city",The provider of public health services in the New York City.,"['the', 'provider', 'of', 'i++', 'public', 'health', 'services', 'for', 'i++', 'i--', '-for', 'health', 'i++', 'education', '-education', 'i--', '-health', 'in', 'i++', 'the', 'new', 'york', 'city', 'i++']"
PUBLIC HEALTH EDUCATOR,"Work related to
alcohol and substance use
among new yorkers",Work related to alcohol and substance use among New Yorkers.,"['work', 'related', 'to', 'i++', 'alcohol', 'and', 'substance', 'use', 'i++', 'among', 'new', 'yorkers', 'i++']"
PUBLIC HEALTH EDUCATOR,"The provider of
public health and substance use
among new yorkers",The provider of public health and substance use among New Yorkers.,"['the', 'provider', 'of', 'i++', 'public', 'health', 'education', 'i++', 'referral', 'for', '-for', '-referral', 'i--', '-education', 'and', 'substance', 'use', 'i++', 'among', 'new', 'yorkers', 'i++']"
HUMAN RIGHTS SPECIALIST (COMM,"Provide services
related to combating
bias incidents",Provide services related to combating bias incidents.,"['provide', 'services', 'i++', 'related', 'to', 'the', '-the', 'combating', 'i++', 'bias', 'incidents', 'i++']"
HUMAN RIGHTS SPECIALIST (COMM,"Communities and
people with criminal or
arrest histories",Communities and people with criminal or arrest histories.,"['communities', 'and', 'i++', 'people', 'with', 'criminal', 'or', 'i++', 'arrest', 'histories', 'i++']"
ADMINISTRATIVE BUSINESS PROMOT,"Ensure incentives
and other stakeholders to
advance policy",Ensure incentives and other stakeholders to advance policy.,"['ensure', 'incentives', 'i++', 'and', 'other', 'government', '-government', 'stakeholders', 'as', 'i++', 'directed', '-directed', 'i--', '-as', 'to', 'i++', 'advance', 'policy', 'i++']"
ADMINISTRATIVE BUSINESS PROMOT,"Experience with
at least two years in a fast
paced environment",Experience with at least two years in a fast paced environment.,"['experience', 'with', 'i++', 'at', 'least', 'two', 'years', 'in', 'a', 'fast', 'i++', 'paced', 'environment', 'i++']"
